what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184792882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184792923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184794894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364184804621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184811739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184813840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184816140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184816200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184818858
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364184825702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184826877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184835343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184837357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184837421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184839806
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364184842118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184842975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184844682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184847996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184848074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184855339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184907077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184912711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184915010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184916547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184916602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184922588
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364184926477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364184927432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364184929402
