what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364222199774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364222199897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364222200994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222202036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222202310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222202620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222203693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222203727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222211445
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222213458
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222214409
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222215398
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222216072
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222218064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364222219036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222219962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222220341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222220650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222221556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222221592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222227502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222257254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222258126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222258178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222281766
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222283449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364222296726
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1364222297556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364222299295
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364222300770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222302221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222303520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222303553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222339354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364222340355
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222341143
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364222341557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364222342472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222343459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364222343816
