what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364220632697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1364220638068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364220641381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364220644444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364220651956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364220659447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1364220672307
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364220675271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364220677944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364220686538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220701002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220701174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220708137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220708291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364220713162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220716619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220722995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364220733567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1364220734513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364220735477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364220736434
