what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1364535320470
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1364535320533
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1364535320534
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1364535320535
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1364535320535
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1364535320536
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1364535320537
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1364535320537
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1364535320538
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1364535320538
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1364535320539
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1364535320540
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1364535320541
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1364535320542
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1364535320543
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1364535320543
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1364535320544
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1364535320561
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1364535320562
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1364535320563
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1364535320564
started,bundle,org.eclipse.tm.tcf,0.4.0.201106081058,"org.eclipse.tm.tcf",1364535320566
started,bundle,org.eclipse.tm.tcf.cdt.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.cdt.ui",1364535320576
started,bundle,org.eclipse.tm.tcf.core,0.4.0.201106081058,"org.eclipse.tm.tcf.core",1364535320577
started,bundle,org.eclipse.tm.tcf.debug,0.4.0.201106081058,"org.eclipse.tm.tcf.debug",1364535320599
started,bundle,org.eclipse.tm.tcf.debug.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.debug.ui",1364535320616
started,bundle,com.mountainminds.eclemma.core,2.2.0.201210261515,"com.mountainminds.eclemma.core",1364535320618
started,bundle,com.mountainminds.eclemma.ui,2.2.0.201210261515,"com.mountainminds.eclemma.ui",1364535320619
os,sysinfo,,,"win32",1364535320626
arch,sysinfo,,,"x86_64",1364535320626
ws,sysinfo,,,"win32",1364535320626
locale,sysinfo,,,"en_US",1364535320626
processors,sysinfo,,,"8",1364535320627
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364535320627
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1364535320627
java.specification.name,sysinfo,,,"Java Platform API Specification",1364535320627
java.specification.vendor,sysinfo,,,"Oracle Corporation",1364535320627
java.specification.version,sysinfo,,,"1.7",1364535320627
java.vendor,sysinfo,,,"Oracle Corporation",1364535320627
java.version,sysinfo,,,"1.7.0_11",1364535320627
java.vm.info,sysinfo,,,"mixed mode",1364535320627
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1364535320627
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364535320627
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1364535320627
java.vm.specification.version,sysinfo,,,"1.7",1364535320627
java.vm.vendor,sysinfo,,,"Oracle Corporation",1364535320627
java.vm.version,sysinfo,,,"23.6-b04",1364535320627
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1364535320682
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1364535320836
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1364535321091
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1364535321140
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1364535321161
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1364535321185
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1364535321187
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1364535321187
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1364535321188
started,bundle,org.eclipse.cdt.scripting,1.0.0.201202112006,"org.eclipse.cdt.scripting",1364535321261
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1364535321334
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1364535321394
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1364535321499
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1364535321542
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1364535321624
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1364535321625
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1364535321626
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1364535321635
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1364535321641
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1364535333871
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1364535333889
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364535333979
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1364535335636
started,bundle,org.python.pydev.debug,2.7.1.2012100913,"org.python.pydev.debug",1364535335643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1364535340995
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1364535341978
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1364535342934
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364535343472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364535343762
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1364535344548
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1364535344679
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1364535344823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535344939
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1364535348267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535348605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535351588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535354061
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364535354217
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1364535354366
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1364535354568
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1364535354584
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1364535354586
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1364535355964
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1364535356077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535356147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535431181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535473436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535744368
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1364535751738
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1364535751997
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1364535752825
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1364535752944
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1364535752973
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1364535752994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535753099
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1364535753109
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1364535753232
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1364535753236
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1364535774973
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1364535775413
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1364535775428
error,log,,,"Provisioning exception",1364535775858
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1364535781076
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1364535781205
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1364535781237
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1364535781454
error,log,,,"No repository found at http://subclipse.tigris.org/update_1.6x.",1364535788664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535792601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535795366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535812958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364535815144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536776234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536777540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536778650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536779248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536862074
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536876978
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536878436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536878638
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536878639
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364536880433
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536880433
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1364536885138
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364536889050
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364536890097
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536899193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536899420
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364536900364
started,bundle,org.eclipse.wb.core.ui,1.3.0.r37x201202052340,"org.eclipse.wb.core.ui",1364536908066
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364536909303
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536917142
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536917422
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364536947471
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536947524
closed,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364536947568
activated,view,com.mountainminds.eclemma.ui,2.2.0.201210261515,"com.mountainminds.eclemma.ui.CoverageView",1364536949920
executed,command,com.mountainminds.eclemma.ui,2.2.0.201210261515,"com.mountainminds.eclemma.ui.removeAllSessions",1364536951951
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536955059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364536956167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536958696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536960925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536961058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364536988659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364537052047
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364537060744
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364537063104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364537063610
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1364537079779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1364537080473
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364537085062
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1364537089377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364537096206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364537098372
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364537098373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364537124540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364537259675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364537261703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364538854742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364538890027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540108880
activated,view,com.mountainminds.eclemma.ui,2.2.0.201210261515,"com.mountainminds.eclemma.ui.CoverageView",1364540117352
executed,command,com.mountainminds.eclemma.ui,2.2.0.201210261515,"com.mountainminds.eclemma.ui.removeAllSessions",1364540117356
error,log,,,"Unhandled event loop exception",1364540117398
error,log,,,"Unhandled event loop exception",1364540117412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540121660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540124580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540124657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364540124712
